Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Gene,Pathogen,Tick.hosts,Hosts.studied,Ecotype.AP,Sequencing,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AH,Same.reference,Multiple.species,Notes,Birds
0137,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Great tit,Parus major,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,25,NA,NA,1,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0138,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Black redstart,Phoenicurus ochruros,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,37,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0139,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common redstart,Phoenicurus phoenicurus,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,22,NA,NA,3,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0140,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Willow warbler,Phylloscopus trochilus,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,5,38,NA,NA,2,0,0.00,5,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0141,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Dunnock,Prunella modularis,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,3,46,NA,NA,1,0,0.00,2,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0142,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",European serin,Serinus serinus,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,2,55,NA,NA,1,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0143,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Whitethroat,Sylvia communis,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,6,NA,NA,0,NA,NA,2,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0144,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,5,55,NA,NA,5,0,0.00,5,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0145,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Redwing thrush,Turdus iliacus,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,9,14,NA,NA,9,0,0.00,16,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0146,"Lommano et al., 2014","Bois de l'Hopital (Canton of Neuchâtel, 47◦01.00'N, 6◦56.00'E) and Agiez (Canton of Vaud, 46◦43.23'N,6◦29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Common blackbird,Turdus merula,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,2,2,No,Yes,0,NA,NA,32,3,0.09,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Resident birds
0147,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common blackbird,Turdus merula,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,42,82,No,Yes,41,8,0.20,79,9,0.11,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0148,"Lommano et al., 2014","Bois de l'Hopital (Canton of Neuchâtel, 47◦01.00'N, 6◦56.00'E) and Agiez (Canton of Vaud, 46◦43.23'N,6◦29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Song thrush,Turdus philomelos,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,1,NA,NA,3,0,0.00,3,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Resident birds
0149,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Song thrush,Turdus philomelos,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,41,151,No,Yes,35,0,0.00,44,1,0.02,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0150,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Mistle thrush,Turdus viscivorus,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,2,35,NA,NA,2,0,0.00,2,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0151,"Michalik et al., 2009","Czarnkow, Krzykosy, Oborniki, Margonin, Miedzychod, Murowana-Goslina, Poniec, Sierakow, Trzcianka and Wielen districts",Poland,No,NA,Summer and fall 2004 and 2005,"European roe deer, Red deer and Fallow deer",NA,Mammal,Hunting,PCR,16S rDNA,A. phagocytophilum,51,NA,No,Yes,NA,NA,NA,NA,NA,NA,301,60,0.20,NA,Yes,"Prevalence in female was 22,7% (range:20-23,7%) and prevalence in male was 9,1% (range:6,7-10,5%)",AH,"Michalik et al., (2009)",Yes,"Ticks collected from 20 fallow deer, 18 roe deer and 13 red deer.",No birds
0152,"Michalik et al., 2012","Zielonka, Zielonka Primeval Forest",Poland,No,NA,May - November 2006,Wild boar,Sus scrofa,Mammal,Hunting,Nested PCR,16S rRNA,A. phagocytophilum,9,50,No,Yes,1,0,0.00,58,3,0.05,11,4,0.36,NA,No,NA,T,"Michalik et al., (2012)",No,All ticks came from negative animals. ,No birds
0153,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Eurasian reed warbler,Acrocephalus scirpaceus,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,1,2,NA,NA,NA,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0154,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,1,2,NA,NA,NA,NA,NA,4,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0155,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,European robin,Erithacus rubecula,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,NA,161,No,Yes,NA,NA,NA,39,1,0.03,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0156,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,NA,48,NA,NA,NA,NA,NA,15,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0157,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Brambling,Fringilla montifringilla,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,3,13,NA,NA,NA,NA,NA,3,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0158,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Eurasian jay,Garrulus glandarius,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,3,4,NA,NA,NA,NA,NA,3,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0159,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Great tit,Parus major,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,4,14,NA,NA,NA,NA,NA,4,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0160,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Willow tit,Poecile montanus,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,1,2,NA,NA,NA,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0161,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Common redstart,Phoenicurus phoenicurus,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,NA,11,No,Yes,NA,NA,NA,4,1,0.25,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0162,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,1,25,NA,NA,NA,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0163,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Dunnock,Prunella modularis,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,3,5,NA,NA,NA,NA,NA,3,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0164,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,5,16,NA,NA,NA,NA,NA,5,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0165,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Common blackbird,Turdus merula,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,NA,17,NA,NA,NA,NA,NA,29,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0166,"Movila et al., 2013",Kaliningrad Oblast,Russia,No,NA,Spring 2009,Song thrush,Turdus philomelos,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,NA,24,NA,NA,NA,NA,NA,23,0,0.00,0,NA,NA,NA,No,NA,T,"Movila et al., (2013)",No,,Migratory birds
0167,"Ogden et al., 1998","Dorset, southern England",UK,No,Oak (Quercus spp.) and ash (Fraxinus excelsior) woodland with occasional conifers (Pinus sylvestris).,NA,European roe deer,Capreolus capreolus,Mammal,Hunting,nested PCR,16S rRNA,"Granulocytic Ehrlichiae (E. phagocytophila, E. equi and the HGE agent)",12,12,NA,NA,NA,NA,NA,NA,NA,NA,60,0,0.00,NA,No,NA,AH,"Ogden et al., (1998)",No,,No birds
0168,"Ogden et al., 1998","Dorset, southern England",UK,No,Oak (Quercus spp.) and ash (Fraxinus excelsior) woodland with occasional conifers (Pinus sylvestris).,May 1996,Common pheasant,Phasianus colchicus,Bird,Hunting,nested PCR,16S rRNA,"Granulocytic Ehrlichiae (E. phagocytophila, E. equi and the HGE agent)",24,24,No,Yes,NA,NA,NA,120,1,0.01,0,NA,NA,NA,No,NA,AH,"Ogden et al., (1998)",No,,Resident birds
0169,"Overzier et al., 2013b","Angelberger Forst near Tussenhausen, Bavaria",Germany,No,"Mixed forest with mainly beech-grove (Fagus sylvatica), in places fir (Abies), oak (Quercus), and spruce (Picea) on fine loam",September 2010 - January 2012,European roe deer,Capreolus capreolus,Mammal,Hunted and one road kill,real-time and nested PCR,16S rRNA,A. phagocytophilum,44,95,No,Yes,NA,NA,NA,NA,NA,NA,331,285,0.86,NA,Yes,"Prev. for spleen and blood combined = 98,9% (95% CI: 94,3-100%). Prev. in female ticks = 99,0% (95% CI: 96,5-99,9%). Prev. in male ticks = 64,8% (95% CI: 55,8-73,1%).",AH,"Overzier et al., (2013b)",No,,No birds
0170,"Palomar et al., 2015","Santa Eulalia, La Rioja",Spain,No,NA,2009-2011,European robin,Erithacus rubecula,Bird,Scientific capturing,nested and single PCR,"msp2, 16S rRNA, groESL",A. phagocytophilum,NA,NA,NA,NA,7,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,"15 animals were invested, but unclear how many with I. ricinus",Migratory birds
0171,"Palomar et al., 2015","Santa Eulalia, La Rioja",Spain,No,NA,2009-2011,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,nested and single PCR,"msp2, 16S rRNA, groESL",A. phagocytophilum,1,NA,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0172,"Palomar et al., 2015","Santa Eulalia, La Rioja",Spain,No,NA,2009-2011,Melodious warbler,Hippolais polyglotta,Bird,Scientific capturing,nested and single PCR,"msp2, 16S rRNA, groESL",A. phagocytophilum,1,NA,NA,NA,2,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0173,"Palomar et al., 2015","Santa Eulalia, La Rioja",Spain,No,NA,2009-2011,Common nightingale,Luscinia megarhynchos,Bird,Scientific capturing,nested and single PCR,"msp2, 16S rRNA, groESL",A. phagocytophilum,1,NA,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0174,"Palomar et al., 2015","Santa Eulalia, La Rioja",Spain,No,NA,2009-2011,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,nested and single PCR,"msp2, 16S rRNA, groESL",A. phagocytophilum,1,NA,NA,NA,1,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0175,"Palomar et al., 2015","Santa Eulalia, La Rioja",Spain,No,NA,2009-2011,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,nested and single PCR,"msp2, 16S rRNA, groESL",A. phagocytophilum,NA,NA,NA,NA,2,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,No,NA,No,"27 animals were invested, but unclear how many with I. ricinus",Migratory birds
0176,"Palomar et al., 2015","Santa Eulalia, La Rioja",Spain,No,NA,2009-2011,Common blackbird,Turdus merula,Bird,Scientific capturing,nested and single PCR,"msp2, 16S rRNA, groESL",A. phagocytophilum,NA,NA,No,Yes,0,NA,NA,2,1,0.50,0,NA,NA,NA,No,NA,No,NA,No,"24 animals were invested, but unclear how many with I. ricinus",Migratory birds
0177,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Marsh warbler,Acrocephalus palustris,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,3,3,NA,NA,2,0,0.00,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0178,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Eurasian reed warbler,Acrocephalus scirpaceus,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,No,No,0,NA,NA,1,1,1.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0179,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Meadow pipit,Anthus pratensis,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0180,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E",Norway,No,NA,spring-summer of 2005-2007,Lesser redpol,Carduelis cabaret,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,4,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0181,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E",Norway,No,NA,spring-summer of 2005-2007,Common linnet,Carduelis cannabina,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,2,2,NA,NA,0,NA,NA,2,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0182,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E and Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,European greenfinch,Carduelis chloris,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,4,4,NA,NA,1,0,0.00,6,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0183,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E",Norway,No,NA,spring-summer of 2005-2007,Common rosefinch,Carpodacus erythrinus,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0184,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0185,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,European robin,Erithacus rubecula,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,10,10,No,No,3,0,0.00,10,3,0.30,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0186,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E and Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,European robin,Erithacus rubecula,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,16,16,No,No,7,0,0.00,17,7,0.41,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0187,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E and Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,9,9,No,No,20,4,0.20,26,3,0.12,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0188,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E",Norway,No,NA,spring-summer of 2005-2007,Icterine warbler,Hippolais icterina,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,2,2,NA,NA,10,0,0.00,3,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0189,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Woodlark,Lullula arborea,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,2,0,0.00,2,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0190,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Thrush nightingale,Luscinia luscinia,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,4,4,No,No,8,3,0.38,2,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0191,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Bluethroat,Luscinia svecica,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0192,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Northern wheatear,Oenanthe oenanthe,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0193,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Great tit,Parus major,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,3,3,NA,NA,0,NA,NA,3,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0194,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Common redstart,Phoenicurus phoenicurus,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,3,3,NA,NA,0,NA,NA,3,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0195,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E",Norway,No,NA,spring-summer of 2005-2007,Common redstart,Phoenicurus phoenicurus,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,2,2,NA,NA,0,NA,NA,3,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0196,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0197,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E",Norway,No,NA,spring-summer of 2005-2007,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,2,2,NA,NA,2,0,0.00,0,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0198,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Wood warbler,Phylloscopus sibilatrix,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,2,2,NA,NA,0,NA,NA,2,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0199,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Willow warbler,Phylloscopus trochilus,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,3,3,NA,NA,0,NA,NA,3,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0200,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Willow warbler,Phylloscopus trochilus,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,3,3,NA,NA,1,0,0.00,2,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0201,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Dunnock,Prunella modularis,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,8,8,NA,NA,1,0,0.00,18,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0202,"Paulauskas et al., 2009","Ventes ragas: 55°34'N, 21°20'E",Lithuania,No,NA,spring-summer of 2005-2007,Goldcrest,Regulus regulus,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0203,"Paulauskas et al., 2009","Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Whinchat,Saxicola rubetra,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,No,No,0,NA,NA,3,1,0.33,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0204,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Common starling,Sturnus vulgaris,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0205,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E and Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Common starling,Sturnus vulgaris,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,6,6,No,No,21,6,0.29,24,17,0.71,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0206,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,2,2,No,No,2,1,0.50,3,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0207,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E and Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,3,3,NA,NA,1,0,0.00,3,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0208,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E",Norway,No,NA,spring-summer of 2005-2007,Garden warbler,Sylvia borin,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,1,1,No,No,0,NA,NA,4,1,0.25,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0209,"Paulauskas et al., 2009","Ventes Ragas Ornithological Station, situated on the eastern coast of Curonian Lagoon",Lithuania,No,NA,spring-summer of 2005-2007,Whitethroat,Sylvia communis,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,2,2,No,No,2,2,1.00,3,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0210,"Paulauskas et al., 2009","Jomfruland: 58°52'N, 09°36'E and Lista: 58°07'N, 06°40'E",Norway,No,NA,spring-summer of 2005-2007,Whitethroat,Sylvia communis,Bird,Scientific capturing,TaqMan RT-PCR,msp2,A. phagocytophilum,3,3,NA,NA,1,0,0.00,2,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
